date,predicted_gold_price
2026-06-04,4437.90474059517
2026-06-05,4444.999220595939
2026-06-08,4449.164489562104
2026-06-09,4457.847680466773
2026-06-10,4470.275051504133
2026-06-11,4474.772255808075
2026-06-12,4479.915063425711
2026-06-15,4481.349246771914
2026-06-16,4482.662521312739
2026-06-17,4485.108962955164
2026-06-18,4486.466125499215
2026-06-19,4487.315496168198
2026-06-22,4490.563107077975
2026-06-23,4492.877185404373
2026-06-24,4496.106389266266
2026-06-25,4498.671652729721
2026-06-26,4500.626699263523
2026-06-29,4502.094903733062
2026-06-30,4502.477076549572
2026-07-01,4505.634936592254
2026-07-02,4508.549923781924
2026-07-03,4509.573354738501
2026-07-06,4510.777079810784
2026-07-07,4511.572687630738
2026-07-08,4512.269395963001
2026-07-09,4512.919852350344
2026-07-10,4513.677895299805
2026-07-13,4514.6047546896925
2026-07-14,4515.082502113424
2026-07-15,4515.616519998108
